Sector,ProjectType,RequiredPermits,CooperatingAgencies
Agriculture and Natural Resource Management,Rangeland Management / Grazing,"Grazing Permit (43 CFR 4130); ESA Section 7 Consultation; NHPA Section 106; FLPMA Conformance; Taylor Grazing Act; Public Rangelands Improvement Act","USFWS; State Wildlife Agency; NRCS"
Agriculture and Natural Resource Management,Land Use or Forest Management Plan,"FLPMA Plan Approval (43 USC 1712); NFMA Forest Plan (16 USC 1604); ESA Section 7 Consultation; NHPA Section 106; Wild and Scenic Rivers Act; Wilderness Act; MBTA; ANILCA (Alaska)","USFWS; EPA; SHPO; State Wildlife Agency; Tribal Governments"
Energy Production and Management,Conventional Energy Production - Land-based Oil & Gas,"BLM Application for Permit to Drill (43 CFR 3162); Sundry Notice Approval (43 CFR 3162.3-2); ESA Section 7 Consultation; NHPA Section 106 Review; Clean Air Act NSR/PSD; SDWA UIC Program; EO 13186 Migratory Birds; FLPMA Conformance","USFWS; EPA; State Oil & Gas Agency; SHPO"
Energy Production and Management,Pipelines,"FERC Section 7(c) Certificate (NGA 15 USC 717f); CWA Section 404 Permit; CWA Section 401 Water Quality Certification; ESA Section 7 Consultation; NHPA Section 106 Review; Rivers and Harbors Act Section 10 Permit; Clean Air Act General Conformity; EO 11990 Wetlands; EO 11988 Floodplains; Migratory Bird Treaty Act; Coastal Zone Management Act Consistency","USACE; USFWS; EPA; USFS; BLM; SHPO"
Energy Production and Management,Renewable Energy Production - Solar,"FLPMA Title V ROW Grant (43 USC 1761); ESA Section 7 Consultation; NHPA Section 106 Review; CWA Section 404 (if wetlands present); MBTA; Bald and Golden Eagle Protection Act; EO 13186; DOE Interconnection Approval","USFWS; EPA; SHPO; State Wildlife Agency; WAPA/BPA"
Transportation and Infrastructure,Electricity Transmission,"FLPMA Title V ROW Grant; FPA Section 216 Authorization; ESA Section 7 Consultation; NHPA Section 106 Review; Special Use Permit (36 CFR 251); MBTA; Bald and Golden Eagle Protection Act; CWA Section 404; EO 13112 Invasive Species","BLM; USFS; USFWS; EPA; SHPO; RUS"
Materials and Manufacturing,Mining - Metals,"3809 Plan of Operations Approval (43 CFR 3809); CWA Section 404 Permit; CWA Section 402 NPDES; ESA Section 7 Consultation; NHPA Section 106; Clean Air Act NSR/PSD; RCRA; SDWA UIC; MBTA","USFS; EPA; USFWS; USACE; State Mining Agency"
Transportation and Infrastructure,Surface Transportation - Highway/Other,"CWA Section 404 Permit; Section 4(f) Evaluation (49 USC 303); ESA Section 7 Consultation; NHPA Section 106 Review; CWA Section 402 NPDES Construction; Clean Air Act Transportation Conformity; UMRA; EO 12898 Environmental Justice; Section 6(f) LWCF","USACE; USFWS; EPA; SHPO; State DOT"
Water and Waste Management,Waste Management - Nuclear/Radiological,"Atomic Energy Act Authorization; RCRA Subtitle C Permit; CERCLA ROD (if remediation); Clean Air Act NESHAP Subpart H; SDWA UIC Permit; Nuclear Waste Policy Act; NHPA Section 106; ESA Section 7","EPA; NRC; State Environmental Agency; USFWS"
Energy Production and Management,Offshore Oil and Gas,"OCSLA Lease and Plan Approval (43 USC 1331); CWA Section 402 NPDES; CWA Section 404 Permit; ESA Section 7 Consultation; NHPA Section 106 Review; CZMA Federal Consistency; Marine Mammal Protection Act Authorization; Magnuson-Stevens EFH Consultation; Rivers and Harbors Act Section 10 Permit","BOEM; BSEE; USACE; USFWS; NMFS; EPA; Coast Guard; State Coastal Agencies; Tribes"
Energy Production and Management,Nuclear Power Generation,"NRC Combined License (10 CFR Part 52); CWA Section 402 NPDES; CWA Section 404 Permit; ESA Section 7 Consultation; NHPA Section 106 Review; Clean Air Act Title V Operating Permit; SDWA UIC Permit; Atomic Energy Act Authorization; CZMA Federal Consistency (coastal sites)","NRC; EPA; USFWS; USACE; State Radiological Agency; Tribes"
Energy Production and Management,Geothermal Energy,"Geothermal Steam Act Lease (30 USC 1002); FLPMA Title V ROW Grant; CWA Section 402 NPDES; CWA Section 404 Permit; ESA Section 7 Consultation; NHPA Section 106 Review; Clean Air Act NSR/PSD; SDWA UIC Permit; EO 11990 Wetlands","BLM; USFWS; EPA; State Water Board; SHPO; Tribes"
Transportation and Infrastructure,Railroads and Transit,"STB Certificate of Public Convenience and Necessity (49 USC 10901); CWA Section 404 Permit; Section 4(f) Evaluation (49 USC 303); ESA Section 7 Consultation; NHPA Section 106 Review; Clean Air Act Transportation Conformity; CWA Section 402 NPDES; Rivers and Harbors Act Section 10 Permit; EO 12898 Environmental Justice","FRA; STB; FTA; USACE; USFWS; EPA; SHPO; State DOT; Tribes"
Transportation and Infrastructure,Aviation and Airports,"FAA Airport Improvement Program Approval (49 USC 47107); CWA Section 404 Permit; Section 4(f) Evaluation; ESA Section 7 Consultation; NHPA Section 106 Review; CWA Section 402 NPDES; Clean Air Act Transportation Conformity; EO 12898 Environmental Justice; Rivers and Harbors Act Section 10 Permit (water crossings)","FAA; USACE; USFWS; EPA; SHPO; State DOT; Tribes"
Materials and Manufacturing,Mining - Non-Metallic,"3809 Plan of Operations Approval (43 CFR 3809); CWA Section 404 Permit; CWA Section 402 NPDES; ESA Section 7 Consultation; NHPA Section 106; Clean Air Act NSR/PSD; SMCRA Surface Mining Permit; SDWA UIC; MBTA","BLM; EPA; USFWS; USACE; State Mining Agency; SHPO; Tribes"
Materials and Manufacturing,Manufacturing and Industrial Facilities,"Clean Air Act Title V Operating Permit; CWA Section 402 NPDES; RCRA Hazardous Waste Permit; SDWA UIC Permit; ESA Section 7 Consultation; NHPA Section 106; CWA Section 404 Permit (if wetlands); EO 12898 Environmental Justice","DOE; EPA; USFWS; USACE; State Environmental Agency; SHPO; Tribes"
Water and Waste Management,Waste Management - Non-Nuclear,"RCRA Subtitle C Hazardous Waste Permit; CWA Section 402 NPDES; CWA Section 404 Permit; SDWA UIC Permit; Clean Air Act Title V; ESA Section 7 Consultation; NHPA Section 106; EO 12898 Environmental Justice","EPA; USFWS; USACE; State Environmental Agency; SHPO; Tribes"
Water and Waste Management,Flood Risk Management,"USACE Civil Works Authorization; CWA Section 404 Permit; CWA Section 401 Water Quality Certification; Rivers and Harbors Act Section 10 Permit; ESA Section 7 Consultation; NHPA Section 106; CZMA Federal Consistency (coastal); NFIP Floodplain Development Permit; Wild and Scenic Rivers Act Section 7 Compliance","USACE; USFWS; NMFS; EPA; FEMA; State Water Agency; Tribes"
Agriculture and Natural Resource Management,Vegetation and Fuels Management,"NFMA Forest Plan Consistency (16 USC 1604); ESA Section 7 Consultation; NHPA Section 106; Clean Air Act Smoke Management Plan; CWA Section 404 Permit (stream crossings); MBTA Nest Survey Clearance; Wild and Scenic Rivers Act Section 7 Compliance","USFS; USFWS; State Forestry Agency; BLM; EPA; Tribes"
Agriculture and Natural Resource Management,Forest Management Plan,"NFMA Forest Plan Approval (16 USC 1604); ESA Section 7 Consultation; NHPA Section 106; Wild and Scenic Rivers Act Section 7 Compliance; Wilderness Act Compliance; MBTA; ANILCA (Alaska); CWA Section 404 Permit (road construction in streams)","USFS; USFWS; EPA; BLM; State Forestry Agency; SHPO; Tribes"
