External_ID__c,Name,nepa_event_type__c,nepa_start_date__c,nepa_end_date__c,nepa_status__c,nepa_outcome__c,nepa_event_description__c
DEMO_AT_001,Application Received,Other,2017-10-18,2017-10-18,Completed,IDI-38709 original application received October 18 2017.,IDI-38709 original application received October 18 2017. Demo scenario uses March 2019 fast-track timeline.
DEMO_AT_002,Pre-Application ID Team Consultation Completed,Scoping Complete,2019-03-12,2019-03-12,Completed,90-minute ID Team scoping session completed. All seven specialists briefed. Six field work orders generated.,90-minute ID Team scoping session completed March 12 2019. All seven specialists briefed. Six field work orders generated. Gate access schedule initiated.
DEMO_AT_003,Section 106 Tribal Consultation Initiated,Other,2019-02-16,2019-02-16,Completed,Consultation letter sent to Shoshone-Paiute Tribes.,Consultation letter sent to Shoshone-Paiute Tribes February 16 2019. HARD GATE: EA cannot advance to public review until consultation certified complete.
DEMO_AT_004,Sage-Grouse Lek Survey Window Opens,Other,2019-02-01,2019-02-01,Completed,Lek survey season opens.,Lek survey season opens. Work order scheduled as slot 1 due to tightest window closing April 30.
DEMO_AT_005,Migratory Bird Survey Spring Window Deadline,Other,2019-04-14,2019-04-12,Completed,Migratory bird survey completed before MBTA deadline.,Migratory bird survey must complete before April 14 per MBTA nesting season. Completed April 12.
DEMO_AT_006,Sage-Grouse Lek Survey Completed,Other,2019-04-20,2019-04-18,Completed,PHMA survey and 3.1-mile lek buffer verification completed.,PHMA survey and 3.1-mile lek buffer verification completed April 18 2019. Sage-grouse SUA boundary documented and photographed from field via mobile app.
DEMO_AT_007,Section 106 Tribal Consultation Certified Complete,Other,2019-03-18,2019-03-16,Completed,Shoshone-Paiute Tribes response received. No historic properties affected. Stage gate cleared.,Shoshone-Paiute Tribes response received within 30-day window March 16 2019. No historic properties affected. Certification complete. Stage gate cleared.
DEMO_AT_008,Hydrology and Water Quality Assessment Completed,Other,2019-04-25,2019-04-25,Completed,Jordan Creek habitat assessed. IDWR Water Permit task auto-created.,Jordan Creek water temperature and redband trout habitat assessed April 25 2019. TRIGGER FIRED: IDWR Water Permit task auto-created.
DEMO_AT_009,IDWR Water Permit Application Initiated,Other,2019-05-25,2019-04-28,Completed,Sam Uhler initiated IDWR application.,Auto-triggered April 25 2019. Sam Uhler initiated IDWR application April 28 via applicant portal.
DEMO_AT_010,Geology Soils and Access Road Assessment Completed,Other,2019-05-15,2019-05-12,Completed,Access road erosion assessed. EPA NPDES NOI task auto-created.,1.7-mile access road erosion assessed May 12 2019. Reclamation plan reviewed. TRIGGER FIRED: EPA NPDES NOI task auto-created.
DEMO_AT_011,EPA NPDES NOI IDG370000 Filed,Other,2019-06-12,2019-05-15,Completed,NOI for Small Suction Dredge filed.,Auto-triggered May 12 2019. NOI for Small Suction Dredge filed May 15. 60-day processing clock started.
DEMO_AT_012,Columbia Spotted Frog Riparian Survey Completed,Other,2019-05-31,2019-05-28,Completed,Riparian corridor survey completed. Steep-shoreline pond design approved.,Riparian corridor survey completed May 28 2019. Steep-shoreline pond design approved for spotted frog deterrence compliance.
DEMO_AT_013,Botanical Survey First Site Visit Completed,Other,2019-06-30,2019-06-20,Completed,First botanical site visit. No special status plants found.,First botanical site visit June 20 2019. No special status plants found. Second visit scheduled August.
DEMO_AT_014,EPA NPDES Agency Objection Window Cleared,Other,2019-06-14,2019-06-14,Completed,No agency objection received. NPDES authorization on track.,Day-30 check: no agency objection received. NPDES authorization on track.
DEMO_AT_015,Big Game Winter Range Assessment Completed,Other,2019-08-31,2019-08-22,Completed,Mule deer crucial winter range overlap mapped. No significant conflicts.,Mule deer crucial winter range overlap mapped August 22 2019. No significant conflicts with proposed seasonal mining window.
DEMO_AT_016,Botanical Survey Second Site Visit Completed,Other,2019-08-31,2019-08-28,Completed,Second botanical site visit. Seed mix approved. All six field work orders complete.,Second botanical site visit August 28 2019. Seed mix approved for reclamation bond. All six field work orders complete.
DEMO_AT_017,Preliminary EA Published for Public Comment,Comment Period Open,2019-07-01,2019-07-01,Completed,Preliminary EA and unsigned FONSI published. Public comment period opens.,Preliminary EA and unsigned FONSI published July 1. Stage gate cleared (tribal consultation certified; required field surveys complete). Public comment period opens.
DEMO_AT_018,Public Comment Period Closed,Comment Period Closed,2019-07-28,2019-07-28,Completed,Two substantive comments received: ICL (mercury/dust) and OSC (ARMPA lek buffer).,Comment period closed July 28. Two substantive comments received: ICL (mercury/dust) and OSC (ARMPA lek buffer). Both routed as work orders.
DEMO_AT_019,ICL Comment Response Incorporated into EA,Other,2019-08-15,2019-08-15,Completed,ICL Comment 3 mercury particulate analysis added to Air Quality section.,ICL Comment 3 mercury particulate analysis added to Air Quality section. Response memo completed August 15 — 3 weeks after comment close.
DEMO_AT_020,OSC Comment Response Incorporated into EA,Other,2019-08-15,2019-08-15,Completed,OSC lek buffer departure response memo citing 2019 Idaho ARMPA ROD Section 4.3 incorporated.,OSC lek buffer departure response memo citing 2019 Idaho ARMPA ROD Section 4.3. Incorporated into revised EA August 15 2019.
DEMO_AT_021,IDWR Water Permit Received,Other,2019-09-30,2019-09-20,Completed,IDWR water withdrawal permit for Jordan Creek received.,IDWR water withdrawal permit for Jordan Creek received September 20 2019. Co-permit requirement satisfied.
DEMO_AT_022,EPA NPDES Authorization Received,Other,2019-09-30,2019-09-18,Completed,EPA NPDES General Permit IDG370000 authorization received.,EPA NPDES General Permit IDG370000 written authorization received September 18 2019. No agency objection filed.
DEMO_AT_023,Required Document Registry All Five Documents Verified,Other,2019-11-20,2019-11-20,Completed,All five required documents verified. Administrative record complete. Stage gate cleared.,HARD GATE: All five required documents attached and verified: EA FONSI Decision Record Affected Resources Form Tribal Consultation Certification. Administrative record complete. Stage gate cleared for decision.
DEMO_AT_024,FONSI Signed,FONSI Issued,2019-11-20,2019-11-20,Completed,FONSI signed after concurrent sign-off by Forrest Griggs and Colleen Trese.,FONSI signed November 20 2019 after concurrent sign-off by Forrest Griggs (geology) and Colleen Trese (ARMPA conformance).
DEMO_AT_025,Decision Record Issued,ROD Issued,2019-11-27,2019-11-27,Completed,LMTF Owyhee Field Manager issues Decision Record approving Alternative A.,LMTF Owyhee Field Manager issues Decision Record approving Alternative A November 27 2019. Applicant Sam Uhler notified via portal. Total time pre-application to decision: 8 months.
